name,type,category,age,structure,morphology,size,reserve,lat,long,status1983,size_viz,res_viz
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.180419749620000,10.099864167580000,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.188458766799997,10.072028389440000,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,37.180142526780003,10.042800821309999,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.156852182780000,10.038973402180000,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.138270215550001,10.031318563559999,unknown,"10000",
,lignite,index,neogene,eastern platform,unclassified,undetermined,limited,36.786268314790000,10.804843126880000,unknown,,
,lignite,index,neogene,eastern platform,unclassified,undetermined,limited,36.860366707630000,10.859397426619999,unknown,,
,barite - strontianite,index,neogene,eastern platform,unclassified,undetermined,limited,37.065688534769997,11.031445897510000,unknown,,
,mercury,index,neogene,eastern platform,unclassified,< 500 T,limited,37.047032508080001,11.061822040459999,unknown,"500",
,fluorite,index,triasic,Mole of ZAGHWEN,unclassified,undetermined,limited,36.583899031119998,10.330683549850001,unknown,,
,plomb - zinc,index,cretaceous,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.556024001239997,10.436199131100000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.714986888340000,10.322586496140000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.640230207270001,10.149480214030000,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.538527571880003,10.005502118450000,unknown,"10000",
,barite - strontianite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.515961161029999,10.013547244460000,unknown,,
,iron,index,jurassic,Mole of ZAGHWEN,unclassified,< 500 000 T,limited,36.503672913309998,10.071806416699999,unknown,,
,mercury,index,cretaceous,Mole of ZAGHWEN,unclassified,< 500 T,limited,36.544778476280001,10.056300733610000,unknown,"500",
,plomb - zinc,index,cretaceous,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.550150124520002,10.098592966200000,unknown,"10000",
,plomb - zinc,index,cretaceous,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.482415040109998,10.257403070150000,unknown,"10000",
,barite - strontianite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.465577291010000,10.257516305319999,unknown,,
,fluorite,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,undetermined,limited,36.472452903140002,10.273191456630000,unknown,,
,fluorite,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,undetermined,limited,36.394438684999997,10.401607985969999,unknown,,
,plomb - zinc,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.381711352840000,10.413409475820000,unknown,"10000",
,mercury,index,cretaceous,Mole of ZAGHWEN,unclassified,< 500 T,limited,36.367368819290000,10.371991906910001,unknown,"500",
,barite - strontianite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.404562276299998,10.112500642810000,unknown,,
,fluorite,index,jurassic,Mole of ZAGHWEN,unclassified,undetermined,limited,36.362698021130001,10.134906097929999,unknown,,
,copper,index,cretaceous,Mole of ZAGHWEN,unclassified,< 500 T,limited,36.324307849710003,10.093499888640000,unknown,"500",
,barite - strontianite,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,undetermined,limited,36.216615966230002,10.216347410970000,unknown,,
,fluorite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.206192979770002,10.256428246790000,unknown,,
,plomb - zinc,index,cretaceous,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.230985352470000,10.241956540229999,unknown,"10000",
,barite - strontianite,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,undetermined,limited,36.248586395289998,10.237727300020000,unknown,,
,lignite,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,undetermined,limited,36.260855910700002,10.327722994469999,unknown,,
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.167023599609998,10.254633268139999,unknown,"10000",
,fluorite,index,cretaceous,cretaceous - tertiary basin,unclassified,undetermined,limited,36.173855907600000,9.878023647750000,unknown,,
,barite - strontianite,index,cretaceous,cretaceous - tertiary basin,unclassified,undetermined,limited,36.190346668609997,9.895358593579999,unknown,,
,lignite,index,cretaceous,cretaceous - tertiary basin,unclassified,undetermined,limited,36.159710261720001,9.930929338180000,unknown,,
,plomb - zinc,index,cretaceous,Mole of ZAGHWEN,unclassified,< 10 000 T,limited,36.238797865220000,9.967120181789999,unknown,"10000",
,barite - strontianite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.235927175560001,9.939898486420001,unknown,,
,fluorite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.218910663890000,9.951867136490000,unknown,,
,lignite,index,eocene - oligocene,Mole of ZAGHWEN,unclassified,undetermined,limited,36.242877728629999,10.068154482640001,unknown,,
,barite - strontianite,index,cretaceous,cretaceous - tertiary basin,unclassified,undetermined,limited,36.046039647070003,9.580134775499999,unknown,,
,barite - strontianite,index,cretaceous,cretaceous - tertiary basin,unclassified,undetermined,limited,36.072066932749998,9.613944520870000,unknown,,
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.045925366630001,9.627434369950000,unknown,"10000",
,barite - strontianite,index,cretaceous,cretaceous - tertiary basin,unclassified,undetermined,limited,36.468011340559997,9.504319415290000,unknown,,
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.460232145580001,9.536386493620000,unknown,"10000",
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.463274113310000,9.468142983400000,unknown,"10000",
,plomb - zinc,index,neogene,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.585063877570001,9.674435291860000,unknown,"10000",
,plomb - zinc,index,cretaceous,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.615229293210000,9.694487782940000,unknown,"10000",
,barite - strontianite,index,neogene,cretaceous - tertiary basin,unclassified,undetermined,limited,36.588600668950001,9.597606497470000,unknown,,
,plomb - zinc,index,neogene,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.557248046650002,9.595863266280000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.723649230980001,9.916763490090000,unknown,"10000",
,plomb - zinc,index,triasic,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.548170136670002,9.549821617199999,unknown,"10000",
,barite - strontianite,index,triasic,cretaceous - tertiary basin,unclassified,undetermined,limited,36.579096665949997,9.520145079840001,unknown,,
,barite - strontianite,index,triasic,cretaceous - tertiary basin,unclassified,undetermined,limited,36.597180493920000,9.479371952770000,unknown,,
,iron,index,cretaceous,cretaceous - tertiary basin,unclassified,< 500 000 T,limited,36.644307186250003,9.497005450310001,unknown,,
,plomb - zinc,index,neogene,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.655027947610002,9.542682351380000,unknown,"10000",
,plomb - zinc,index,triasic,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.632978459439997,9.656120403370000,unknown,"10000",
,barite - strontianite,index,triasic,cretaceous - tertiary basin,unclassified,undetermined,limited,36.584086776900001,9.637846798860000,unknown,,
,fluorite,index,jurassic,Mole of ZAGHWEN,unclassified,undetermined,limited,36.515323202829997,10.042561338440001,unknown,,
,barite - strontianite,index,quaternary,Mole of ZAGHWEN,unclassified,undetermined,limited,36.381067224749998,9.928630161599999,unknown,,
,fluorite,index,cretaceous,Mole of ZAGHWEN,unclassified,undetermined,limited,36.371383589819999,9.946531367870000,unknown,,
,plomb - zinc,index,triasic,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.733405993209999,9.636170823210000,unknown,"10000",
,plomb - zinc,index,triasic,cretaceous - tertiary basin,unclassified,< 10 000 T,limited,36.737972949819998,9.687045814459999,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,36.807575589010000,9.743369247810000,unknown,"10000",
,plomb - zinc,index,quaternary,Miocene basin,unclassified,< 10 000 T,limited,36.976102495550002,9.784453762069999,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,36.941942141209999,9.765871974000000,unknown,"10000",
,barite - strontianite,index,cretaceous,Miocene basin,unclassified,undetermined,limited,37.286648827070003,9.732863031670000,unknown,,
,iron,index,neogene,Miocene basin,unclassified,< 500 000 T,limited,37.270463299969997,9.784369132609999,unknown,,
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.236950185090002,9.672159651950000,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.209933734170001,9.692058579950000,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,37.215711573560000,9.593402674860000,unknown,"10000",
,iron,index,triasic,Miocene basin,unclassified,< 500 000 T,limited,37.238051158790000,9.611669836030000,unknown,,
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.266548931940001,9.651320247599999,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,37.187552049680001,9.532837675120000,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,37.164158794659997,9.552742369500001,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,37.155464630780003,9.472587680309999,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,37.135963268790000,9.499672649800001,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,37.131535959479997,9.462805021430000,unknown,"10000",
,lignite,index,quaternary,cristallyine basement,unclassified,undetermined,limited,37.498373716069999,8.873530230769999,unknown,,
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.841388072150004,9.479260361450001,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.818951275179998,9.451724914070001,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.829844897329998,9.361506595910001,unknown,"10000",
,iron,index,cretaceous,Miocene basin,unclassified,< 500 000 T,limited,36.852697022080001,9.347748304300000,unknown,,
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.859118209119998,9.319268705040001,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.875863132909998,9.355676826720000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.843294230780003,9.246248066650001,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.926658928869998,9.433014286420001,unknown,"10000",
,phosphate,index,cretaceous,Miocene basin,unclassified,< 1 000 000 T,limited,36.959544693989997,9.469988272429999,unknown,"1000000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.983320275110003,9.445682288330000,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.996759971440000,9.490023024459999,unknown,"10000",
,phosphate,index,cretaceous,Miocene basin,unclassified,< 1 000 000 T,limited,36.990784075240001,9.532604661080001,unknown,"1000000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.989985655970003,9.240349875720000,unknown,"10000",
,barite - strontianite,index,cretaceous,Miocene basin,unclassified,undetermined,limited,37.067072250880003,9.510702524930000,unknown,,
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,37.111954842389999,9.489959979769999,unknown,"10000",
,iron,index,neogene,Miocene basin,unclassified,< 500 000 T,limited,37.109282794220000,9.439445987039999,unknown,,
,plomb - zinc,index,cretaceous,The Numidian Flysch,unclassified,< 10 000 T,limited,37.074453662520000,9.418396543740000,unknown,"10000",
,copper,index,triasic,The Numidian Flysch,unclassified,< 500 T,limited,37.068591431240002,9.443588517149999,unknown,"500",
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,37.076792817600001,9.380873294370000,unknown,"10000",
,barite - strontianite,index,cretaceous,The Numidian Flysch,unclassified,undetermined,limited,37.048675222969997,9.402086263350000,unknown,,
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,37.060304825350002,9.350725867350000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,37.070896058960003,9.273570718289999,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.992774831090003,9.378676938150001,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,37.007424601060002,9.411719560520000,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,37.016193356179997,9.339979723080001,unknown,"10000",
,barite - strontianite,index,cretaceous,Miocene basin,unclassified,undetermined,limited,36.909477974280001,10.077247596830000,unknown,,
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,36.892115476340003,10.088312318930001,unknown,"10000",
,copper,index,cretaceous,Miocene basin,unclassified,< 500 T,limited,36.867738106179999,10.074998214590000,unknown,"500",
,fluorite,index,quaternary,The Numidian Flysch,unclassified,undetermined,limited,37.094547125769999,9.182844653100000,unknown,,
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,37.040010206829997,9.202300177890001,unknown,"10000",
,barite - strontianite,index,neogene,The Numidian Flysch,unclassified,undetermined,limited,37.062036096470003,9.095477440750001,unknown,,
,iron,index,eocene - oligocene,The Numidian Flysch,unclassified,< 500 000 T,limited,37.096171866779997,9.095930533970000,unknown,,
,uranium,index,eocene - oligocene,The Numidian Flysch,unclassified,undetermined,limited,37.112824928110001,9.062731691720000,unknown,,
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,37.036856059750001,9.049030900400000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,37.017925382140000,9.102154941129999,unknown,"10000",
,barite - strontianite,index,eocene - oligocene,Miocene basin,unclassified,undetermined,limited,37.005677294740003,9.145393485430001,unknown,,
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,37.002009648420000,9.167827159060000,unknown,"10000",
,barite - strontianite,index,eocene - oligocene,The Numidian Flysch,unclassified,undetermined,limited,37.013454014659999,9.064934258850000,unknown,,
,fluorite,index,quaternary,The Numidian Flysch,unclassified,undetermined,limited,37.005963086880001,8.915964059300000,unknown,,
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,36.930921789190002,9.011199373240000,unknown,"10000",
,copper,index,eocene - oligocene,The Numidian Flysch,unclassified,< 500 T,limited,36.901156646490001,9.044835792520001,unknown,"500",
,plomb - zinc,index,triasic,The Numidian Flysch,unclassified,< 10 000 T,limited,36.884921622020002,8.971348393730000,unknown,"10000",
,uranium,index,eocene - oligocene,Miocene basin,unclassified,undetermined,limited,36.923912243079997,9.145342392980000,unknown,,
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,36.986982944979999,9.086850546690000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,36.992691177319998,9.049122892110001,unknown,"10000",
,mercury,index,eocene - oligocene,The Numidian Flysch,unclassified,< 500 T,limited,36.957245757309998,8.858634288090000,unknown,"500",
,iron,index,quaternary,The Numidian Flysch,unclassified,< 500 000 T,limited,36.990332482429999,8.899405629140000,unknown,,
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,36.940406308050001,8.819614580110002,unknown,"10000",
,plomb - zinc,index,triasic,The Numidian Flysch,unclassified,< 10 000 T,limited,36.902511679009997,8.863153416470000,unknown,"10000",
,barite - strontianite,index,cretaceous,The Numidian Flysch,unclassified,undetermined,limited,36.910087920940001,8.893785704170000,unknown,,
,plomb - zinc,index,triasic,The Numidian Flysch,unclassified,< 10 000 T,limited,36.931197289529997,8.877188165480000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,36.834319666730003,8.761969080909999,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,The Numidian Flysch,unclassified,< 10 000 T,limited,36.799334770860000,8.728501366210002,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.769271953150003,8.698268267610000,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.812083333040000,9.085135385479999,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,36.711454666990001,9.217915494850001,unknown,"10000",
,plomb - zinc,index,neogene,Miocene basin,unclassified,< 10 000 T,limited,36.748856362260000,9.231701504629999,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.683147516840002,8.920824895010000,unknown,"10000",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.593632627580000,8.812500954700004,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.746470864940001,8.629924803110002,unknown,"10000",
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.707167526139997,8.587145462130000,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,36.680219016540001,8.618456351850000,unknown,"10000",
,plomb - zinc,index,triasic,Miocene basin,unclassified,< 10 000 T,limited,36.722412083519998,8.748880860350004,unknown,"10000",
,copper,index,cretaceous,Miocene basin,unclassified,< 500 T,limited,36.655934063369997,8.613410316960000,unknown,"500",
,plomb - zinc,index,cretaceous,Miocene basin,unclassified,< 10 000 T,limited,36.654183823810001,8.583048208530000,unknown,"10000",
,iron,index,cretaceous,Miocene basin,unclassified,< 500 000 T,limited,36.642217597909998,8.559031475830000,unknown,,
,plomb - zinc,index,eocene - oligocene,Miocene basin,unclassified,< 10 000 T,limited,36.521552027959999,8.375457478680000,unknown,"10000",
,copper,index,cretaceous,Miocene basin,unclassified,< 500 T,limited,36.536128777739997,8.411279383140000,unknown,"500",
,copper,index,cretaceous,Miocene basin,unclassified,< 500 T,limited,36.559304246979998,8.452135940170002,unknown,"500",
